age,balance,day,duration,campaign,job,marital,education,default,housing,loan,contact,month,y
35,538,19,308,1,self-employed,single,tertiary,no,yes,yes,cellular,nov,0
42,1449,11,177,1,blue-collar,married,secondary,no,yes,no,cellular,may,0
59,0,18,203,4,self-employed,married,secondary,no,no,no,cellular,aug,0
27,1187,28,120,2,technician,single,secondary,no,no,no,cellular,jan,0
34,627,9,117,9,services,married,secondary,no,yes,no,unknown,may,0
41,2490,21,115,2,technician,married,secondary,no,yes,no,unknown,may,0
35,3636,21,808,2,admin,divorced,secondary,no,no,yes,cellular,nov,1
30,23,12,72,4,technician,single,tertiary,yes,no,no,cellular,aug,0
35,331,14,857,2,management,single,tertiary,no,no,no,cellular,aug,1
41,1982,21,558,1,management,single,tertiary,no,no,no,cellular,nov,1
48,3020,12,645,3,blue-collar,married,primary,no,no,no,cellular,aug,0
57,5935,19,90,2,blue-collar,married,secondary,no,yes,yes,cellular,nov,0
60,1141,8,211,2,retired,married,secondary,no,no,yes,cellular,jul,0
39,3870,20,72,1,services,married,secondary,no,yes,no,cellular,apr,0
45,757,24,144,3,admin,single,secondary,no,yes,yes,cellular,jul,0
32,56,2,389,1,entrepreneur,married,primary,no,no,no,unknown,jun,0
22,2139,17,133,8,student,single,secondary,no,no,no,cellular,mar,0
34,165,17,182,2,entrepreneur,married,primary,no,yes,no,cellular,apr,0
29,853,9,177,2,blue-collar,single,secondary,no,yes,no,unknown,may,0
52,2095,19,419,4,technician,married,secondary,no,yes,yes,cellular,aug,0
29,368,20,16,5,services,married,secondary,no,yes,no,cellular,apr,0
34,681,20,382,6,self-employed,divorced,tertiary,no,no,no,cellular,nov,0
48,312,3,369,2,blue-collar,single,secondary,no,yes,yes,cellular,feb,0
59,92,12,139,2,admin,married,secondary,no,yes,no,cellular,may,0
32,59,9,202,2,services,married,secondary,no,yes,yes,unknown,may,0
52,2709,9,48,7,technician,married,unknown,no,yes,no,telephone,feb,0
47,1692,30,592,1,housemaid,married,tertiary,no,yes,no,cellular,jan,0
52,1624,20,114,3,blue-collar,married,primary,no,no,no,unknown,jun,0
35,569,21,487,5,technician,married,secondary,no,yes,no,unknown,may,0
34,4,31,33,39,management,married,tertiary,no,yes,no,cellular,jul,0
32,8,26,175,2,management,married,tertiary,no,yes,no,cellular,may,0
42,-417,5,81,3,management,married,primary,no,yes,no,cellular,feb,0
47,8148,17,247,1,blue-collar,married,secondary,no,yes,no,cellular,apr,0
48,1,10,248,1,management,married,tertiary,no,no,no,telephone,nov,1
22,489,28,223,5,student,single,secondary,no,no,no,unknown,may,0
29,315,2,121,4,admin,single,secondary,no,yes,no,unknown,jun,0
31,30,8,161,2,management,single,tertiary,no,no,no,cellular,aug,0
32,49,27,135,5,blue-collar,married,secondary,no,yes,no,unknown,may,0
50,8139,18,256,6,blue-collar,married,primary,no,yes,no,cellular,aug,0
53,2144,7,217,2,blue-collar,married,primary,no,yes,no,cellular,may,0
31,2196,26,299,2,management,married,tertiary,no,yes,no,cellular,may,0
43,128,7,122,2,entrepreneur,married,secondary,no,yes,no,telephone,jul,0
33,352,5,225,2,admin,single,secondary,no,yes,no,unknown,may,0
54,1037,12,612,4,management,divorced,tertiary,no,no,no,cellular,aug,0
40,27,20,467,2,admin,single,tertiary,no,no,no,cellular,aug,1
32,-203,18,67,1,technician,married,secondary,no,yes,no,cellular,jul,0
49,518,29,1917,2,unemployed,married,primary,no,no,no,cellular,jan,1
44,36,15,551,1,blue-collar,single,primary,no,yes,no,cellular,may,1
33,1481,13,172,3,entrepreneur,single,tertiary,no,yes,no,cellular,may,0
38,434,20,411,1,services,married,secondary,no,yes,no,unknown,may,0
53,732,7,530,2,blue-collar,married,secondary,no,yes,no,unknown,may,0
51,-13,13,361,1,unemployed,married,secondary,no,yes,no,cellular,may,0
39,0,12,561,4,management,single,tertiary,no,yes,no,cellular,may,0
31,501,9,132,1,blue-collar,single,secondary,no,yes,no,cellular,apr,0
44,755,31,829,4,technician,married,primary,no,no,yes,cellular,jul,1
43,778,15,284,5,blue-collar,married,primary,no,yes,yes,unknown,may,0
27,713,30,152,4,blue-collar,married,primary,no,yes,no,unknown,may,0
39,3,10,102,9,technician,single,secondary,no,yes,yes,cellular,jul,0
40,-222,5,221,1,management,single,tertiary,no,yes,no,unknown,jun,0
31,1583,21,207,1,admin,single,tertiary,no,yes,no,unknown,may,0
49,0,29,468,2,blue-collar,divorced,primary,no,yes,no,cellular,jul,0
30,1185,18,342,2,management,married,tertiary,no,yes,no,cellular,nov,0
35,1088,2,362,2,blue-collar,married,secondary,no,yes,no,unknown,jun,0
57,8141,2,37,1,management,married,tertiary,no,no,no,cellular,feb,0
35,2201,3,354,3,admin,single,secondary,no,yes,no,unknown,jun,0
49,78,10,139,1,housemaid,married,primary,no,no,no,telephone,jul,0
33,2044,4,532,3,technician,married,secondary,no,yes,no,cellular,may,1
41,2002,15,172,2,admin,single,secondary,no,yes,no,cellular,may,0
41,2666,30,170,2,management,divorced,secondary,no,yes,no,unknown,may,0
27,4,6,243,1,admin,married,secondary,no,yes,no,unknown,may,0
27,178,3,732,2,management,single,secondary,no,yes,no,unknown,jun,1
34,78,7,35,3,services,divorced,secondary,no,yes,no,unknown,may,0
49,1160,14,153,1,entrepreneur,married,secondary,no,yes,no,unknown,may,0
32,1246,4,192,2,technician,single,tertiary,no,yes,no,cellular,feb,1
57,1292,1,151,1,retired,married,tertiary,no,no,no,cellular,jun,0
52,-17,8,37,3,blue-collar,married,secondary,no,yes,no,unknown,may,0
41,30,19,171,7,management,married,tertiary,no,no,no,cellular,aug,0
41,-456,21,190,1,management,married,tertiary,no,no,no,cellular,nov,0
37,771,11,262,2,blue-collar,married,secondary,no,yes,no,cellular,may,0
47,178,5,17,6,admin,single,tertiary,no,no,no,telephone,feb,0
34,390,27,95,2,technician,married,secondary,no,yes,no,cellular,mar,1
31,2085,21,639,2,management,single,tertiary,no,yes,no,cellular,nov,0
31,7505,2,258,1,admin,single,tertiary,no,yes,yes,unknown,jun,0
50,1458,28,92,1,management,married,primary,no,no,no,cellular,jan,0
30,2,23,50,3,services,married,secondary,no,no,yes,unknown,may,0
54,2437,27,1176,8,management,married,tertiary,no,no,no,telephone,aug,0
55,1498,17,345,2,technician,married,primary,no,no,yes,unknown,jun,0
36,600,21,538,1,entrepreneur,married,primary,no,no,no,cellular,jul,0
44,736,14,210,2,technician,married,secondary,no,yes,no,telephone,may,0
41,-78,3,69,4,management,divorced,tertiary,no,yes,no,cellular,feb,0
37,1472,3,126,3,services,divorced,secondary,no,yes,no,cellular,feb,0
32,4133,19,175,6,technician,married,secondary,no,no,no,cellular,aug,0
34,1504,12,395,3,admin,single,secondary,no,yes,no,unknown,may,0
49,917,11,165,6,technician,divorced,tertiary,no,no,no,cellular,aug,0
33,1412,19,480,1,management,married,tertiary,no,yes,no,unknown,aug,1
27,4909,17,159,3,management,married,tertiary,no,no,yes,cellular,jul,0
36,4644,26,29,12,technician,single,tertiary,no,no,no,cellular,aug,0
42,1042,11,465,1,management,married,secondary,no,yes,no,cellular,may,0
40,12409,12,196,2,management,married,tertiary,no,yes,no,cellular,aug,0
30,-393,16,435,1,technician,married,secondary,no,yes,yes,cellular,jul,1
47,555,17,179,1,management,married,unknown,no,yes,no,cellular,jul,0
31,98,18,85,2,admin,single,tertiary,no,no,yes,cellular,jul,0
42,248,19,163,4,technician,divorced,secondary,no,no,no,cellular,aug,0
47,2,20,661,4,blue-collar,married,primary,no,yes,yes,cellular,nov,0
32,-578,9,115,1,blue-collar,single,secondary,no,no,no,unknown,may,0
31,1257,14,350,2,blue-collar,single,secondary,no,yes,no,cellular,may,0
47,473,21,127,2,blue-collar,married,secondary,no,yes,no,cellular,nov,0
53,366,16,171,6,retired,married,secondary,no,no,yes,cellular,jul,0
30,394,31,75,3,admin,single,secondary,no,yes,yes,cellular,jul,0
57,561,5,21,1,management,married,tertiary,no,no,no,unknown,jun,0
57,515,13,288,2,retired,divorced,primary,no,yes,no,unknown,may,0
38,551,12,1875,4,management,married,tertiary,no,yes,no,unknown,may,0
46,1114,31,87,8,management,married,secondary,no,no,no,cellular,jul,0
30,3905,14,112,2,management,single,tertiary,no,no,no,cellular,aug,0
52,0,19,182,11,admin,single,primary,no,no,no,unknown,may,0
56,1770,5,916,3,unemployed,divorced,primary,no,no,no,cellular,feb,0
54,2227,2,45,3,blue-collar,divorced,primary,no,yes,no,unknown,jun,0
28,191,4,238,1,management,single,tertiary,no,yes,no,unknown,jun,0
30,707,26,228,1,technician,single,secondary,no,no,no,cellular,may,0
36,3579,14,308,2,technician,married,secondary,no,no,no,cellular,aug,0
37,9,26,484,2,management,single,tertiary,no,no,no,cellular,aug,0
52,774,8,159,1,services,married,secondary,no,yes,no,cellular,may,0
57,195,30,185,4,blue-collar,married,primary,yes,no,yes,telephone,jul,0
57,0,6,62,2,retired,married,primary,no,yes,no,cellular,may,0
41,323,15,122,6,services,single,secondary,no,yes,no,unknown,may,0
68,250,3,360,1,retired,divorced,primary,no,no,no,cellular,feb,1
32,10287,27,281,4,blue-collar,married,secondary,no,yes,no,cellular,may,1
33,-395,27,161,2,services,divorced,secondary,no,yes,no,unknown,may,0
35,40,9,617,4,blue-collar,single,secondary,no,yes,no,unknown,may,1
28,9,4,306,1,services,divorced,secondary,no,yes,no,cellular,feb,0
32,3,23,108,3,blue-collar,single,secondary,no,yes,no,unknown,may,0
47,736,29,212,2,technician,single,secondary,no,no,no,cellular,jul,0
31,656,7,158,1,technician,single,secondary,no,yes,no,cellular,may,0
52,635,7,228,4,admin,married,unknown,no,no,no,cellular,aug,0
36,1253,11,135,2,services,married,secondary,no,yes,no,cellular,may,0
51,276,26,217,2,services,married,secondary,no,no,no,cellular,aug,0
41,1018,25,171,1,blue-collar,married,primary,no,yes,no,cellular,jul,0
34,2926,20,90,25,blue-collar,married,secondary,no,yes,no,unknown,jun,0
32,1038,14,128,4,technician,single,tertiary,no,no,no,cellular,aug,0
34,72,26,118,2,management,single,tertiary,no,yes,no,unknown,may,0
57,5486,11,86,7,services,married,secondary,no,yes,no,cellular,may,0
46,675,12,190,2,management,divorced,tertiary,no,no,yes,unknown,jun,0
36,2473,28,965,4,technician,married,secondary,no,no,no,cellular,aug,1
23,8627,3,281,1,blue-collar,single,primary,no,yes,no,unknown,jun,0
25,1231,27,412,5,technician,single,secondary,no,yes,no,cellular,feb,1
29,0,28,132,2,self-employed,single,secondary,no,no,no,cellular,jan,0
44,0,21,167,2,management,married,secondary,no,no,no,cellular,aug,0
36,515,21,14,7,management,single,tertiary,no,yes,no,cellular,nov,0
43,2767,15,317,7,management,married,tertiary,no,yes,no,unknown,may,0
26,609,21,594,1,management,single,secondary,no,yes,no,cellular,jul,0
45,121,18,835,4,technician,married,tertiary,no,no,no,cellular,aug,0
34,3,24,71,1,technician,single,secondary,no,yes,yes,cellular,jul,0
34,430,21,82,4,admin,married,secondary,no,yes,no,cellular,jul,0
31,91,23,206,1,self-employed,single,tertiary,no,no,no,unknown,may,0
40,0,6,290,1,admin,single,secondary,no,no,no,cellular,feb,0
55,868,19,207,1,retired,married,primary,no,no,no,unknown,jun,0
29,191,17,87,1,services,married,secondary,no,yes,no,cellular,apr,0
57,5126,2,113,2,unemployed,married,primary,no,yes,no,cellular,feb,0
45,334,5,87,2,self-employed,married,tertiary,no,no,no,unknown,jun,0
41,65,22,157,1,technician,married,secondary,no,no,no,cellular,aug,0
58,5,9,412,1,management,divorced,tertiary,no,yes,no,unknown,jun,0
26,192,15,477,1,technician,single,tertiary,no,yes,no,unknown,may,0
44,522,20,911,1,services,married,secondary,no,no,yes,unknown,jun,1
41,168,18,187,3,blue-collar,married,primary,no,yes,no,cellular,nov,0
38,689,6,585,2,blue-collar,married,primary,no,yes,no,cellular,may,0
28,2831,9,211,3,admin,single,secondary,no,yes,no,unknown,may,0
40,8150,15,347,1,blue-collar,married,secondary,no,yes,no,unknown,may,0
36,746,17,581,3,admin,married,secondary,no,yes,no,cellular,nov,0
57,-5,10,42,1,retired,married,tertiary,no,no,no,cellular,jul,0
57,2236,14,73,2,services,single,secondary,no,yes,no,unknown,may,0
37,5953,5,1113,1,technician,married,secondary,no,no,no,cellular,aug,0
59,538,18,48,2,retired,married,tertiary,no,no,no,cellular,nov,0
42,1742,15,420,2,blue-collar,married,primary,no,yes,no,unknown,may,0
28,1086,20,1112,3,technician,married,secondary,no,yes,no,cellular,apr,1
33,549,14,44,2,admin,single,secondary,no,yes,no,cellular,apr,0
41,4517,20,137,1,unemployed,single,tertiary,no,yes,no,cellular,nov,0
31,271,5,269,1,technician,single,secondary,no,yes,no,cellular,may,0
52,2231,19,470,4,blue-collar,married,secondary,no,yes,yes,unknown,may,0
31,3659,2,180,1,blue-collar,married,secondary,no,no,no,unknown,jun,0
54,1156,16,64,2,retired,married,primary,no,no,no,unknown,jun,0
35,341,23,824,2,management,married,tertiary,no,yes,no,unknown,may,0
36,1954,30,199,3,admin,married,secondary,no,yes,yes,unknown,may,0
45,0,5,196,2,services,married,secondary,no,no,no,cellular,aug,0
26,1231,3,385,2,technician,single,secondary,no,yes,no,cellular,jun,1
48,906,29,289,9,management,single,tertiary,no,yes,no,telephone,jul,0
48,337,25,770,12,services,married,primary,no,no,no,cellular,aug,0
40,-61,16,698,9,services,single,secondary,no,yes,yes,unknown,may,0
32,880,4,112,1,blue-collar,divorced,secondary,no,yes,yes,unknown,jun,0
33,0,20,173,1,blue-collar,married,primary,no,yes,no,cellular,nov,0
45,678,5,104,3,blue-collar,married,primary,no,no,no,cellular,aug,0
54,1545,3,148,2,blue-collar,divorced,unknown,no,yes,no,unknown,jun,0
29,20,15,431,1,services,single,secondary,no,yes,no,unknown,may,0
40,67,21,199,2,admin,married,secondary,no,no,no,cellular,nov,0
33,483,14,738,2,management,married,tertiary,no,yes,no,unknown,may,0
55,6507,17,109,1,management,single,tertiary,no,yes,yes,cellular,jul,0
28,-55,7,361,2,blue-collar,married,primary,no,yes,no,unknown,may,0
28,0,16,767,5,management,single,tertiary,no,yes,no,cellular,jul,1
60,2450,9,297,5,unknown,married,tertiary,no,no,no,unknown,jul,0
48,791,7,219,2,technician,divorced,secondary,no,no,no,cellular,aug,0
26,81,21,262,3,entrepreneur,single,tertiary,no,no,no,cellular,jul,0
59,3302,15,85,2,blue-collar,married,primary,no,no,no,telephone,apr,0
49,0,30,136,2,housemaid,divorced,secondary,no,no,no,telephone,apr,0
41,15449,22,136,9,management,married,tertiary,no,no,no,cellular,aug,0
33,599,21,29,1,blue-collar,single,primary,no,yes,no,unknown,may,0
40,311,6,738,2,technician,divorced,secondary,no,no,no,cellular,aug,1
57,4,21,84,1,services,married,secondary,no,no,no,cellular,jul,0
54,1938,28,551,3,technician,married,secondary,no,no,yes,cellular,jul,1
51,1432,9,388,1,blue-collar,married,unknown,no,no,no,cellular,jul,0
28,902,28,296,2,blue-collar,married,tertiary,no,yes,no,telephone,jul,0
47,568,14,256,2,technician,married,secondary,no,yes,no,telephone,jul,0
24,262,4,69,3,admin,married,secondary,no,yes,no,unknown,jun,0
37,549,2,239,1,technician,married,tertiary,no,no,no,cellular,mar,1
31,775,20,207,1,management,single,tertiary,no,yes,no,cellular,apr,0
55,0,16,153,1,technician,married,unknown,no,no,no,unknown,jun,0
28,129,18,32,2,services,single,secondary,no,yes,no,cellular,may,0
26,8,24,46,1,admin,married,secondary,no,yes,yes,cellular,jul,0
29,-95,17,269,3,admin,single,secondary,yes,yes,no,unknown,jun,0
30,-172,17,282,4,services,single,secondary,no,yes,yes,cellular,apr,0
44,1206,9,160,2,management,single,tertiary,no,no,no,cellular,jul,0
42,154,13,133,2,admin,divorced,secondary,no,yes,no,cellular,may,0
50,2087,14,371,1,blue-collar,married,secondary,no,yes,no,unknown,may,0
49,0,6,286,2,blue-collar,married,primary,no,yes,no,unknown,jun,0
41,2171,31,120,2,unemployed,single,primary,no,no,no,telephone,jul,0
34,520,17,401,1,management,married,tertiary,no,yes,no,cellular,apr,0
27,295,3,148,13,admin,single,secondary,no,yes,no,unknown,jun,0
37,2469,7,232,1,blue-collar,single,secondary,no,yes,no,cellular,may,0
34,764,9,89,2,admin,married,secondary,no,no,no,cellular,feb,0
53,7290,30,153,1,technician,divorced,primary,no,yes,no,unknown,may,0
50,0,22,160,1,housemaid,married,secondary,no,yes,no,cellular,jul,0
36,1328,30,69,9,admin,single,secondary,no,no,no,cellular,jul,0
49,3726,5,875,2,technician,married,tertiary,no,no,no,cellular,aug,1
25,103,10,52,9,management,married,tertiary,no,no,no,cellular,feb,0
41,47,8,160,1,management,divorced,tertiary,no,yes,no,unknown,may,0
27,298,4,207,3,admin,single,secondary,no,no,no,cellular,feb,0
43,1943,3,273,2,unemployed,married,secondary,no,yes,no,cellular,apr,0
30,0,19,159,3,blue-collar,married,secondary,no,no,no,unknown,may,0
39,11971,15,75,10,management,single,tertiary,no,yes,no,telephone,may,0
35,767,16,1408,2,blue-collar,married,primary,no,yes,no,unknown,may,0
51,279,28,64,3,blue-collar,married,secondary,no,no,no,cellular,aug,0
45,-73,18,125,2,management,married,tertiary,no,no,no,cellular,nov,0
51,227,5,231,1,admin,married,secondary,no,no,no,cellular,aug,0
29,7836,19,155,1,technician,married,secondary,no,yes,no,unknown,jun,0
31,159,20,129,1,technician,single,secondary,no,no,no,cellular,aug,0
34,0,12,117,4,self-employed,married,tertiary,no,no,no,cellular,aug,0
36,2609,30,141,9,management,married,tertiary,no,yes,no,unknown,may,0
44,1696,16,139,3,admin,married,secondary,no,no,no,unknown,jun,0
34,516,28,292,2,management,single,secondary,no,yes,no,cellular,jul,0
31,3897,8,231,3,management,married,tertiary,no,yes,no,cellular,aug,0
40,287,8,69,1,technician,single,secondary,no,yes,no,cellular,may,0
54,1695,16,168,1,technician,single,unknown,no,no,no,unknown,jun,0
33,6285,2,689,3,blue-collar,single,secondary,no,yes,no,unknown,jun,0
41,927,20,343,2,blue-collar,divorced,secondary,no,yes,no,cellular,nov,0
45,-1036,9,65,17,services,married,secondary,no,yes,no,unknown,jun,0
42,2625,29,2516,2,technician,single,tertiary,no,no,no,cellular,jul,1
31,25,21,169,5,housemaid,married,primary,no,no,no,cellular,aug,0
40,-444,30,168,8,admin,married,secondary,yes,no,yes,telephone,jul,0
31,3194,11,140,2,technician,single,tertiary,no,no,no,cellular,aug,0
56,3082,30,444,3,technician,married,tertiary,no,yes,yes,unknown,jun,0
47,380,16,268,6,blue-collar,divorced,secondary,no,yes,no,unknown,may,0
42,-67,9,128,1,blue-collar,married,primary,no,yes,no,unknown,may,0
31,-1185,16,81,5,technician,divorced,secondary,no,yes,no,unknown,jun,0
32,3322,5,588,2,technician,married,secondary,no,yes,no,cellular,feb,0
31,299,7,492,2,admin,single,secondary,no,yes,no,unknown,may,0
43,0,4,539,8,technician,married,secondary,no,yes,yes,cellular,feb,0
35,4515,11,66,3,technician,divorced,tertiary,no,yes,no,cellular,may,0
47,1305,29,172,2,admin,single,secondary,no,no,no,cellular,jul,0
29,64,14,611,2,blue-collar,married,secondary,no,yes,yes,cellular,jul,0
33,244,18,231,2,services,married,secondary,no,yes,no,cellular,nov,0
59,104,2,92,5,blue-collar,married,secondary,no,yes,no,unknown,jun,0
50,565,28,36,3,blue-collar,married,primary,no,yes,yes,cellular,aug,0
42,1508,29,178,3,self-employed,married,secondary,no,yes,no,cellular,jul,0
30,-846,13,117,1,services,married,secondary,yes,yes,no,unknown,may,0
28,0,25,269,1,technician,single,tertiary,no,yes,no,cellular,may,1
34,577,18,80,1,management,married,tertiary,no,yes,no,cellular,nov,0
31,1051,25,106,4,technician,single,tertiary,no,no,no,cellular,aug,0
35,1309,18,73,3,entrepreneur,married,secondary,no,yes,no,cellular,nov,0
54,171,14,673,8,services,married,secondary,no,no,yes,cellular,jul,0
33,163,20,627,2,technician,single,secondary,no,yes,no,cellular,aug,1
30,459,17,439,1,blue-collar,single,primary,no,yes,no,cellular,apr,0
45,3638,3,313,7,services,married,secondary,no,yes,yes,unknown,jun,0
58,0,13,641,4,retired,married,tertiary,no,no,no,cellular,aug,1
30,190,28,33,3,technician,single,tertiary,no,yes,no,cellular,jul,0
47,459,28,226,1,technician,married,secondary,no,no,no,cellular,jan,0
44,788,17,392,1,blue-collar,married,secondary,no,yes,no,cellular,apr,0
43,1819,14,41,2,management,divorced,tertiary,no,no,yes,cellular,aug,0
30,26,16,62,1,admin,married,tertiary,no,yes,no,cellular,apr,0
35,977,4,52,4,unemployed,married,secondary,no,yes,no,cellular,may,0
36,647,15,290,2,services,married,secondary,no,yes,yes,cellular,may,0
27,80,27,188,2,management,single,tertiary,no,no,no,cellular,may,0
35,47,20,44,9,management,married,tertiary,no,no,yes,cellular,aug,0
55,680,14,321,1,blue-collar,married,primary,no,yes,no,unknown,may,0
28,2503,25,426,1,self-employed,single,tertiary,no,no,no,cellular,may,1
35,344,5,25,1,blue-collar,married,secondary,no,no,no,unknown,jun,0
37,5132,31,536,8,admin,married,secondary,no,no,no,cellular,jul,0
50,2405,6,114,1,admin,divorced,secondary,yes,yes,no,cellular,may,0
41,0,23,285,3,management,married,tertiary,no,yes,no,cellular,jul,0
40,0,17,522,1,technician,divorced,tertiary,no,no,no,unknown,jun,1
55,23,30,143,1,blue-collar,married,unknown,no,no,no,cellular,jan,0
29,926,15,169,2,entrepreneur,married,secondary,no,yes,no,cellular,jul,0
30,1622,19,242,1,unemployed,single,tertiary,no,no,no,cellular,nov,0
47,5401,19,824,2,admin,married,secondary,no,no,no,cellular,aug,0
35,1694,31,55,6,services,married,secondary,no,no,yes,cellular,jul,0
30,3086,20,150,1,technician,single,tertiary,no,yes,no,cellular,nov,0
49,24,11,701,1,blue-collar,divorced,primary,no,yes,no,cellular,may,1
55,-555,31,81,3,services,divorced,secondary,no,yes,no,cellular,jul,0
39,2245,21,749,2,unemployed,married,secondary,no,no,no,cellular,nov,1
44,361,29,217,1,services,married,secondary,no,yes,no,unknown,may,0
33,133,4,218,1,technician,married,secondary,no,no,no,cellular,may,1
37,5205,23,493,2,management,married,tertiary,no,yes,no,unknown,may,0
44,54,5,197,1,blue-collar,married,secondary,no,yes,no,unknown,may,0
37,0,21,158,7,housemaid,divorced,primary,no,yes,yes,cellular,nov,0
47,168,30,66,1,unemployed,married,primary,no,yes,no,telephone,jan,0
38,61,28,170,5,entrepreneur,married,secondary,no,yes,yes,unknown,may,0
60,0,17,68,3,retired,married,primary,no,yes,no,cellular,apr,0
38,1097,7,186,3,technician,married,secondary,no,no,yes,cellular,aug,0
33,1373,5,17,5,management,single,tertiary,no,yes,no,cellular,may,0
33,1430,18,74,3,admin,single,secondary,no,yes,no,cellular,may,0
40,-769,17,64,1,admin,married,secondary,no,yes,yes,cellular,jul,0
48,11,21,102,9,management,married,tertiary,no,yes,no,cellular,aug,0
30,112,7,245,1,management,single,tertiary,no,yes,no,unknown,may,0
40,0,25,91,2,blue-collar,divorced,unknown,no,no,yes,unknown,jun,0
42,1048,17,71,1,services,married,secondary,no,yes,no,cellular,nov,0
29,1232,16,258,1,blue-collar,single,secondary,no,yes,no,cellular,apr,0
41,5736,19,136,2,entrepreneur,married,tertiary,no,yes,yes,unknown,jun,0
38,1099,15,22,5,blue-collar,married,primary,no,yes,no,cellular,may,0
37,264,16,220,1,entrepreneur,married,tertiary,no,yes,yes,unknown,jun,0
31,263,18,75,4,blue-collar,married,primary,no,yes,no,cellular,may,0
34,5498,19,265,1,self-employed,married,tertiary,no,no,no,cellular,nov,0
44,1590,12,349,1,unemployed,married,secondary,no,yes,no,unknown,jun,0
45,1691,14,57,1,blue-collar,married,primary,no,yes,no,unknown,may,0
59,385,14,365,2,retired,married,secondary,no,no,yes,telephone,aug,0
26,187,30,226,2,admin,single,secondary,no,no,no,cellular,jan,0
22,890,20,294,2,technician,single,secondary,no,yes,no,cellular,apr,0
27,0,28,125,2,management,single,secondary,no,yes,yes,cellular,jul,0
31,-51,26,173,2,admin,married,secondary,yes,no,yes,cellular,aug,0
38,558,6,427,3,blue-collar,married,primary,no,yes,no,cellular,feb,0
43,16,14,485,2,blue-collar,divorced,secondary,no,yes,no,unknown,may,0
38,164,15,188,3,services,single,secondary,no,no,yes,cellular,jul,0
43,36,13,61,1,management,divorced,tertiary,no,no,no,cellular,feb,0
22,333,12,129,1,technician,single,secondary,no,no,yes,telephone,nov,0
51,5244,17,266,2,self-employed,divorced,tertiary,no,no,no,unknown,jun,0
30,0,7,82,3,technician,single,secondary,no,no,no,cellular,aug,0
39,4444,21,244,1,technician,married,secondary,no,yes,no,unknown,may,0
57,641,30,124,4,retired,married,primary,no,no,yes,telephone,jan,0
50,512,17,77,3,admin,married,secondary,no,yes,yes,cellular,apr,0
23,1158,16,743,1,blue-collar,married,primary,no,yes,no,cellular,apr,0
37,313,19,11,7,admin,married,secondary,no,yes,no,unknown,jun,0
43,2576,17,143,2,admin,married,secondary,no,yes,no,cellular,nov,0
42,4314,7,214,1,management,married,secondary,no,no,no,cellular,jul,0
39,6999,6,111,2,unknown,married,primary,no,no,no,cellular,aug,0
32,252,25,148,4,services,married,secondary,no,yes,yes,cellular,jul,0
52,2289,21,81,1,self-employed,married,tertiary,no,yes,yes,cellular,nov,0
36,-1941,16,505,1,housemaid,married,tertiary,yes,yes,no,unknown,jun,0
35,0,2,154,2,blue-collar,married,primary,no,no,yes,cellular,feb,0
43,545,21,144,1,blue-collar,married,secondary,no,yes,no,cellular,nov,0
94,1234,3,212,1,retired,divorced,secondary,no,no,no,cellular,mar,0
30,501,6,323,2,entrepreneur,married,primary,no,yes,yes,cellular,may,0
56,386,21,65,4,entrepreneur,divorced,tertiary,no,no,no,cellular,nov,0
